Gmt time,Open,High,Low,Close,Volume
29.12.2020 07:07:00.000,1.28221,1.28222,1.28195,1.28198,19.75
29.12.2020 07:08:00.000,1.28196,1.28197,1.28177,1.28187,28.47
29.12.2020 07:09:00.000,1.28188,1.28188,1.28161,1.28161,40.53
29.12.2020 07:10:00.000,1.28156,1.28159,1.28145,1.28157,38.84
29.12.2020 07:11:00.000,1.28160,1.28162,1.28150,1.28155,21.95
29.12.2020 07:12:00.000,1.28158,1.28163,1.28151,1.28156,18
29.12.2020 07:13:00.000,1.28160,1.28160,1.28149,1.28156,23
29.12.2020 07:14:00.000,1.28161,1.28161,1.28150,1.28151,18
29.12.2020 07:15:00.000,1.28151,1.28156,1.28148,1.28155,36.76
29.12.2020 07:16:00.000,1.28162,1.28168,1.28148,1.28148,39.07
29.12.2020 07:17:00.000,1.28149,1.28159,1.28149,1.28157,8.75
29.12.2020 07:18:00.000,1.28158,1.28174,1.28157,1.28174,28.5
29.12.2020 07:19:00.000,1.28179,1.28181,1.28172,1.28173,23.75
29.12.2020 07:20:00.000,1.28173,1.28176,1.28173,1.28175,8
29.12.2020 07:21:00.000,1.28172,1.28172,1.28164,1.28164,17.56
29.12.2020 07:22:00.000,1.28164,1.28165,1.28164,1.28164,3
29.12.2020 07:23:00.000,1.28164,1.28165,1.28158,1.28158,11.57
29.12.2020 07:24:00.000,1.28158,1.28179,1.28158,1.28179,32.33
29.12.2020 07:25:00.000,1.28179,1.28180,1.28175,1.28179,14.66
29.12.2020 07:26:00.000,1.28179,1.28179,1.28164,1.28172,53.4
29.12.2020 07:27:00.000,1.28173,1.28173,1.28164,1.28172,20.52
29.12.2020 07:28:00.000,1.28172,1.28172,1.28169,1.28169,15.26
29.12.2020 07:29:00.000,1.28168,1.28172,1.28161,1.28170,27.15
29.12.2020 07:30:00.000,1.28169,1.28171,1.28159,1.28162,45.62
29.12.2020 07:31:00.000,1.28162,1.28163,1.28157,1.28163,20.46
29.12.2020 07:32:00.000,1.28163,1.28170,1.28162,1.28168,54.18
29.12.2020 07:33:00.000,1.28168,1.28172,1.28165,1.28168,26.96
29.12.2020 07:34:00.000,1.28167,1.28174,1.28167,1.28172,5
29.12.2020 07:35:00.000,1.28173,1.28180,1.28173,1.28180,28.61
29.12.2020 07:36:00.000,1.28180,1.28181,1.28168,1.28173,36.58
29.12.2020 07:37:00.000,1.28178,1.28189,1.28174,1.28184,35.87
29.12.2020 07:38:00.000,1.28186,1.28190,1.28183,1.28190,11.32
29.12.2020 07:39:00.000,1.28191,1.28198,1.28184,1.28184,23.68
29.12.2020 07:40:00.000,1.28187,1.28197,1.28185,1.28190,24.07
29.12.2020 07:41:00.000,1.28194,1.28197,1.28189,1.28194,15.6
29.12.2020 07:42:00.000,1.28193,1.28195,1.28187,1.28188,19.49
29.12.2020 07:43:00.000,1.28188,1.28188,1.28186,1.28187,6.45
29.12.2020 07:44:00.000,1.28186,1.28194,1.28186,1.28190,13.37
29.12.2020 07:45:00.000,1.28190,1.28195,1.28189,1.28195,26.12
29.12.2020 07:46:00.000,1.28197,1.28197,1.28187,1.28196,32.74
29.12.2020 07:47:00.000,1.28194,1.28222,1.28194,1.28222,42.61
29.12.2020 07:48:00.000,1.28225,1.28226,1.28199,1.28199,110.4
29.12.2020 07:49:00.000,1.28199,1.28201,1.28187,1.28188,73.76
29.12.2020 07:50:00.000,1.28186,1.28188,1.28172,1.28178,21.8
29.12.2020 07:51:00.000,1.28177,1.28189,1.28173,1.28183,70.37
29.12.2020 07:52:00.000,1.28182,1.28188,1.28181,1.28187,45.98
29.12.2020 07:53:00.000,1.28188,1.28193,1.28179,1.28180,28.05
29.12.2020 07:54:00.000,1.28179,1.28179,1.28174,1.28179,24.91
29.12.2020 07:55:00.000,1.28179,1.28179,1.28177,1.28179,25.14
29.12.2020 07:56:00.000,1.28178,1.28192,1.28178,1.28192,15.47
29.12.2020 07:57:00.000,1.28190,1.28195,1.28183,1.28186,47.1
29.12.2020 07:58:00.000,1.28187,1.28201,1.28186,1.28196,30.92
29.12.2020 07:59:00.000,1.28196,1.28196,1.28189,1.28196,43.06
29.12.2020 08:00:00.000,1.28196,1.28200,1.28188,1.28194,69
29.12.2020 08:01:00.000,1.28193,1.28198,1.28174,1.28180,94.21
29.12.2020 08:02:00.000,1.28180,1.28193,1.28180,1.28188,39.26
29.12.2020 08:03:00.000,1.28194,1.28203,1.28188,1.28201,72.33
29.12.2020 08:04:00.000,1.28202,1.28206,1.28202,1.28203,13.71
29.12.2020 08:05:00.000,1.28202,1.28204,1.28191,1.28193,42.63
29.12.2020 08:06:00.000,1.28193,1.28194,1.28166,1.28170,85.4
29.12.2020 08:07:00.000,1.28170,1.28179,1.28170,1.28170,54.54
29.12.2020 08:08:00.000,1.28172,1.28172,1.28164,1.28172,81.68
29.12.2020 08:09:00.000,1.28171,1.28175,1.28138,1.28138,81.62
29.12.2020 08:10:00.000,1.28139,1.28153,1.28138,1.28150,28.23
29.12.2020 08:11:00.000,1.28151,1.28151,1.28141,1.28143,26.75
29.12.2020 08:12:00.000,1.28141,1.28143,1.28138,1.28142,14.32
29.12.2020 08:13:00.000,1.28141,1.28151,1.28132,1.28142,35.42
29.12.2020 08:14:00.000,1.28141,1.28142,1.28141,1.28141,8
29.12.2020 08:15:00.000,1.28134,1.28142,1.28128,1.28133,80.88
29.12.2020 08:16:00.000,1.28132,1.28139,1.28132,1.28136,55.44
29.12.2020 08:17:00.000,1.28137,1.28138,1.28132,1.28133,38.57
29.12.2020 08:18:00.000,1.28134,1.28144,1.28132,1.28141,35.32
29.12.2020 08:19:00.000,1.28140,1.28142,1.28138,1.28141,28.25
29.12.2020 08:20:00.000,1.28142,1.28153,1.28139,1.28151,51.79
29.12.2020 08:21:00.000,1.28150,1.28150,1.28135,1.28137,74.82
29.12.2020 08:22:00.000,1.28137,1.28143,1.28134,1.28136,71.84
29.12.2020 08:23:00.000,1.28139,1.28156,1.28139,1.28140,58.25
29.12.2020 08:24:00.000,1.28143,1.28157,1.28142,1.28157,61.63
29.12.2020 08:25:00.000,1.28154,1.28165,1.28150,1.28151,52.88
29.12.2020 08:26:00.000,1.28152,1.28157,1.28142,1.28142,57
29.12.2020 08:27:00.000,1.28140,1.28141,1.28127,1.28131,71.1
29.12.2020 08:28:00.000,1.28130,1.28138,1.28126,1.28128,79.68
29.12.2020 08:29:00.000,1.28127,1.28131,1.28125,1.28130,132.61
29.12.2020 08:30:00.000,1.28129,1.28133,1.28125,1.28131,90.33
29.12.2020 08:31:00.000,1.28132,1.28138,1.28125,1.28125,35.8
29.12.2020 08:32:00.000,1.28128,1.28148,1.28128,1.28148,52.07
29.12.2020 08:33:00.000,1.28149,1.28149,1.28139,1.28140,19.07
29.12.2020 08:34:00.000,1.28141,1.28141,1.28124,1.28124,46.53
29.12.2020 08:35:00.000,1.28125,1.28128,1.28124,1.28125,48.24
29.12.2020 08:36:00.000,1.28124,1.28126,1.28075,1.28080,115.86
29.12.2020 08:37:00.000,1.28081,1.28089,1.28081,1.28088,45.69
29.12.2020 08:38:00.000,1.28089,1.28091,1.28082,1.28090,21.83
29.12.2020 08:39:00.000,1.28089,1.28100,1.28085,1.28099,23.82
29.12.2020 08:40:00.000,1.28102,1.28117,1.28099,1.28116,32.07
29.12.2020 08:41:00.000,1.28120,1.28130,1.28115,1.28127,56.21
29.12.2020 08:42:00.000,1.28126,1.28128,1.28113,1.28116,83.42
29.12.2020 08:43:00.000,1.28116,1.28124,1.28110,1.28124,72.85
29.12.2020 08:44:00.000,1.28123,1.28129,1.28118,1.28120,49.35
29.12.2020 08:45:00.000,1.28120,1.28131,1.28119,1.28128,33.83
29.12.2020 08:46:00.000,1.28128,1.28132,1.28127,1.28127,22.6
29.12.2020 08:47:00.000,1.28125,1.28125,1.28117,1.28123,33.62
29.12.2020 08:48:00.000,1.28124,1.28128,1.28117,1.28118,58.38
29.12.2020 08:49:00.000,1.28117,1.28122,1.28117,1.28118,34.19
29.12.2020 08:50:00.000,1.28122,1.28127,1.28118,1.28124,40.57
29.12.2020 08:51:00.000,1.28122,1.28130,1.28122,1.28125,32.88
29.12.2020 08:52:00.000,1.28125,1.28128,1.28124,1.28124,44.73
29.12.2020 08:53:00.000,1.28124,1.28133,1.28124,1.28124,56.07
29.12.2020 08:54:00.000,1.28125,1.28142,1.28125,1.28140,43.42
29.12.2020 08:55:00.000,1.28140,1.28188,1.28140,1.28188,52.49
29.12.2020 08:56:00.000,1.28191,1.28205,1.28189,1.28194,84.15
29.12.2020 08:57:00.000,1.28195,1.28201,1.28192,1.28195,64.98
29.12.2020 08:58:00.000,1.28192,1.28216,1.28187,1.28199,90.55
29.12.2020 08:59:00.000,1.28199,1.28221,1.28199,1.28214,50.74
29.12.2020 09:00:00.000,1.28216,1.28235,1.28213,1.28230,65.61
29.12.2020 09:01:00.000,1.28229,1.28229,1.28223,1.28228,56.99
29.12.2020 09:02:00.000,1.28226,1.28234,1.28225,1.28232,9
29.12.2020 09:03:00.000,1.28231,1.28231,1.28224,1.28224,29.89
29.12.2020 09:04:00.000,1.28223,1.28223,1.28198,1.28199,54.02
29.12.2020 09:05:00.000,1.28201,1.28201,1.28192,1.28198,23.13
29.12.2020 09:06:00.000,1.28198,1.28200,1.28195,1.28197,20.25
29.12.2020 09:07:00.000,1.28198,1.28204,1.28194,1.28197,30.24
29.12.2020 09:08:00.000,1.28201,1.28201,1.28193,1.28200,31.87
29.12.2020 09:09:00.000,1.28199,1.28213,1.28199,1.28207,31.18
29.12.2020 09:10:00.000,1.28206,1.28208,1.28198,1.28199,66.63
29.12.2020 09:11:00.000,1.28199,1.28199,1.28191,1.28192,35.95
29.12.2020 09:12:00.000,1.28191,1.28197,1.28189,1.28197,57.52
29.12.2020 09:13:00.000,1.28197,1.28200,1.28197,1.28197,6.75
29.12.2020 09:14:00.000,1.28197,1.28199,1.28194,1.28194,20.5
29.12.2020 09:15:00.000,1.28193,1.28199,1.28192,1.28199,7.5
29.12.2020 09:16:00.000,1.28199,1.28199,1.28199,1.28199,1.5
29.12.2020 09:17:00.000,1.28204,1.28214,1.28204,1.28205,51.55
29.12.2020 09:18:00.000,1.28204,1.28219,1.28204,1.28219,40.13
29.12.2020 09:19:00.000,1.28217,1.28228,1.28214,1.28226,27.07
29.12.2020 09:20:00.000,1.28227,1.28229,1.28222,1.28223,106.99
29.12.2020 09:21:00.000,1.28220,1.28222,1.28217,1.28222,28.31
29.12.2020 09:22:00.000,1.28223,1.28227,1.28219,1.28221,33.5
29.12.2020 09:23:00.000,1.28220,1.28235,1.28220,1.28232,42.24
29.12.2020 09:24:00.000,1.28233,1.28234,1.28228,1.28230,29.75
29.12.2020 09:25:00.000,1.28229,1.28230,1.28218,1.28219,25.76
29.12.2020 09:26:00.000,1.28222,1.28227,1.28222,1.28224,11.74
29.12.2020 09:27:00.000,1.28223,1.28232,1.28223,1.28229,41.7
29.12.2020 09:28:00.000,1.28231,1.28232,1.28224,1.28224,10.73
29.12.2020 09:29:00.000,1.28224,1.28225,1.28223,1.28224,7.1
29.12.2020 09:30:00.000,1.28225,1.28225,1.28216,1.28216,15.19
29.12.2020 09:31:00.000,1.28217,1.28217,1.28207,1.28209,24.94
29.12.2020 09:32:00.000,1.28207,1.28207,1.28207,1.28207,1.5
29.12.2020 09:33:00.000,1.28209,1.28209,1.28208,1.28208,2
29.12.2020 09:34:00.000,1.28207,1.28207,1.28195,1.28196,24.5
29.12.2020 09:35:00.000,1.28196,1.28199,1.28192,1.28197,50.24
29.12.2020 09:36:00.000,1.28199,1.28200,1.28199,1.28200,2
29.12.2020 09:37:00.000,1.28199,1.28200,1.28194,1.28198,31.12
29.12.2020 09:38:00.000,1.28196,1.28200,1.28193,1.28199,46.22
29.12.2020 09:39:00.000,1.28199,1.28199,1.28192,1.28196,15.49
29.12.2020 09:40:00.000,1.28197,1.28201,1.28194,1.28196,45.42
29.12.2020 09:41:00.000,1.28194,1.28200,1.28193,1.28198,47.06
29.12.2020 09:42:00.000,1.28198,1.28200,1.28195,1.28199,23.25
29.12.2020 09:43:00.000,1.28204,1.28207,1.28200,1.28200,8.37
29.12.2020 09:44:00.000,1.28207,1.28209,1.28201,1.28207,25.68
29.12.2020 09:45:00.000,1.28207,1.28220,1.28207,1.28218,42.61
29.12.2020 09:46:00.000,1.28218,1.28219,1.28204,1.28204,23.1
29.12.2020 09:47:00.000,1.28207,1.28210,1.28201,1.28201,21.31
